ACCOUNT_NO.,ACCOUNT_NAME,SCHEME_TYPE,CLS_BALANCE,AVG_CR_BALANCE,AVG_DR_BALANCE,INT_RATE,INT_EXPENSE,INT_INCOME,ACCT_OPEN_DATE _OPEN_EFFECTIVE_DATE,GL_SUB_HEAD_CODE,MATURITY_DATE,CRNCY,A/C_CLASSIFICATION,CR_INT_RATE,DR_INT_RATE,COUNTRY,INT_CODE,LAST_DAY_IN_DR_BAL,LAST_DAY_IN_DR_BAL.1,INT_PAY_FLAG,INT_COLL_FLAG,CUST_ID,OPENING_BAL.
LA500300013674,SUNTRUST BANK NIGERIA LIMITED,LAA,"-71,355.00",0,"71,355.00",6.04,0,11.98,12/15/2021,14020,2022-05-13,USD,,0,6.0451,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-71,355.00"
LA500300014078,WEMA BANK PLC.,LAA,"-166,377.75",0,"166,377.75",6.6,0,30.52,5/13/2022,14020,2022-05-27,USD,,0,6.6041,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000077,"-166,377.75"
LA500300013903,SUNTRUST BANK NIGERIA LIMITED,LAA,"-10,500.00",0,"10,500.00",6.55,0,1.91,2/28/2022,14020,2022-06-09,USD,,0,6.5544,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-10,500.00"
LA500300013680,NOVA MERCHANT BANK,LAA,"-166,338.00",0,"166,338.00",6.04,0,27.91,12/16/2021,14020,2022-06-14,USD,,0,6.0411,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000117,"-166,338.00"
LA500300013679,NOVA MERCHANT BANK,LAA,"-133,500.00",0,"133,500.00",6.04,0,22.4,12/16/2021,14020,2022-06-14,USD,,0,6.0411,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000117,"-133,500.00"
LA500300013686,FIRST CITY MONUMENT BANK PLC,LAA,"-149,020.00",0,"149,020.00",5.05,0,20.91,12/17/2021,14020,2022-06-15,USD,,0,5.0515,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-149,020.00"
LA500300013688,FIRST CITY MONUMENT BANK PLC,LAA,"-30,000.00",0,"30,000.00",5.05,0,4.21,12/17/2021,14020,2022-06-15,USD,,0,5.0515,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-30,000.00"
LA500300013786,HERITAGE BANK PLC INTEREST AND,LAA,"-801,932.52",0,"801,932.52",5.75,0,128.09,1/31/2022,14020,2022-06-17,EUR,,0,5.75,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000142,"-801,932.52"
LA500300013648,GREENWICH MERCHANT BANK LIMITE,LAA,"-7,525.77",0,"7,525.77",5.81,0,1.22,11/24/2021,14020,2022-06-24,GBP,,0,5.8174,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000181,"-7,525.77"
LA500300013794,WEMA BANK PLC.,LAA,"-134,941.76",0,"134,941.76",6.27,0,23.54,2/3/2022,14020,2022-06-29,USD,,0,6.2796,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000077,"-134,941.76"
LA500300013793,SUNTRUST BANK NIGERIA LIMITED,LAA,"-93,107.00",0,"93,107.00",6.28,0,16.25,2/1/2022,14020,2022-07-01,USD,,0,6.2844,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-93,107.00"
LA500300013695,NOVA MERCHANT BANK,LAA,"-58,910.00",0,"58,910.00",6.08,0,9.96,1/4/2022,14020,2022-07-01,USD,,0,6.0888,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000117,"-58,910.00"
LA500300013710,FIRST CITY MONUMENT BANK PLC,LAA,"-226,166.45",0,"226,166.45",5.09,0,32,1/6/2022,14020,2022-07-05,USD,,0,5.0929,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-226,166.45"
LA500300013703,NOVA MERCHANT BANK,LAA,"-403,891.20",0,"403,891.20",6.09,0,68.42,1/6/2022,14020,2022-07-05,USD,,0,6.0983,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000117,"-403,891.20"
LA500300013704,NOVA MERCHANT BANK,LAA,"-515,818.30",0,"515,818.30",6.09,0,87.38,1/6/2022,14020,2022-07-05,USD,,0,6.0983,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000117,"-515,818.30"
LA500300013705,NOVA MERCHANT BANK,LAA,"-159,846.00",0,"159,846.00",6.09,0,27.08,1/6/2022,14020,2022-07-05,USD,,0,6.0983,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000117,"-159,846.00"
LA500300013706,FIRST CITY MONUMENT BANK PLC,LAA,"-61,340.00",0,"61,340.00",5.09,0,8.68,1/6/2022,14020,2022-07-05,USD,,0,5.0929,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-61,340.00"
LA500300013707,FIRST CITY MONUMENT BANK PLC,LAA,"-234,775.00",0,"234,775.00",5.09,0,33.21,1/6/2022,14020,2022-07-05,USD,,0,5.0929,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-234,775.00"
LA500300013708,FIRST CITY MONUMENT BANK PLC,LAA,"-228,074.46",0,"228,074.46",5.09,0,32.27,1/6/2022,14020,2022-07-05,USD,,0,5.0929,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-228,074.46"
LA500300013709,FIRST CITY MONUMENT BANK PLC,LAA,"-61,304.00",0,"61,304.00",5.09,0,8.67,1/6/2022,14020,2022-07-05,USD,,0,5.0929,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-61,304.00"
LA500300013711,FIRST CITY MONUMENT BANK PLC,LAA,"-136,450.00",0,"136,450.00",5.09,0,19.3,1/6/2022,14020,2022-07-05,USD,,0,5.0929,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-136,450.00"
LA500300013999,UNION BANK,LAA,"-627,900.00",0,"627,900.00",6.21,0,108.47,4/6/2022,14020,2022-07-05,USD,,0,6.219,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000080,"-627,900.00"
LA500300014002,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-202,675.00",0,"202,675.00",6.71,0,37.81,4/7/2022,14020,2022-07-06,USD,,0,6.7166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000155,"-202,675.00"
LA500300013822,FIRST CITY MONUMENT BANK PLC,LAA,"-1,000,000.00",0,"1,000,000.00",5.09,0,141.39,1/7/2022,14020,2022-07-06,USD,,0,5.09,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-1,000,000.00"
LA500300013718,FIRST CITY MONUMENT BANK PLC,LAA,"-132,600.00",0,"132,600.00",5.09,0,18.75,1/7/2022,14020,2022-07-06,USD,,0,5.09,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-132,600.00"
LA500300013717,FIRST CITY MONUMENT BANK PLC,LAA,"-78,427.66",0,"78,427.66",5.09,0,11.09,1/7/2022,14020,2022-07-06,USD,,0,5.09,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-78,427.66"
LA500300013713,FIRST CITY MONUMENT BANK PLC,LAA,"-133,282.63",0,"133,282.63",5.09,0,18.84,1/7/2022,14020,2022-07-06,USD,,0,5.09,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000017,"-133,282.63"
LA500300014006,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-204,015.00",0,"204,015.00",6.73,0,38.18,4/8/2022,14020,2022-07-07,USD,,0,6.7364,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000155,"-204,015.00"
LA500300013712,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-154,495.94",0,"154,495.94",7.47,0,32.08,1/7/2022,14020,2022-07-07,USD,,0,7.4749,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000155,"-154,495.94"
LA500300013727,FIDELITY BANK PLC TRADING ACCO,LAA,"-152,775.00",0,"152,775.00",5.11,0,21.71,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-152,775.00"
LA500300013781,NOVA MERCHANT BANK,LAA,"-54,062.00",0,"54,062.00",4.71,0,7.08,1/28/2022,14020,2022-07-08,USD,,0,4.714,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000117,"-54,062.00"
LA500300013730,FIDELITY BANK PLC TRADING ACCO,LAA,"-128,160.00",0,"128,160.00",5.11,0,18.22,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-128,160.00"
LA500300013729,FIDELITY BANK PLC TRADING ACCO,LAA,"-480,600.00",0,"480,600.00",5.11,0,68.31,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-480,600.00"
LA500300013726,FIDELITY BANK PLC TRADING ACCO,LAA,"-488,880.00",0,"488,880.00",5.11,0,69.48,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-488,880.00"
LA500300013720,FIDELITY BANK PLC TRADING ACCO,LAA,"-224,280.00",0,"224,280.00",5.11,0,31.88,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-224,280.00"
LA500300013723,FIDELITY BANK PLC TRADING ACCO,LAA,"-416,520.00",0,"416,520.00",5.11,0,59.2,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-416,520.00"
LA500300013724,FIDELITY BANK PLC TRADING ACCO,LAA,"-213,885.00",0,"213,885.00",5.11,0,30.4,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-213,885.00"
LA500300013725,FIDELITY BANK PLC TRADING ACCO,LAA,"-256,320.00",0,"256,320.00",5.11,0,36.43,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-256,320.00"
LA500300013722,FIDELITY BANK PLC TRADING ACCO,LAA,"-96,120.00",0,"96,120.00",5.11,0,13.66,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-96,120.00"
LA500300013728,FIDELITY BANK PLC TRADING ACCO,LAA,"-458,325.00",0,"458,325.00",5.11,0,65.14,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-458,325.00"
LA500300013721,FIDELITY BANK PLC TRADING ACCO,LAA,"-152,775.00",0,"152,775.00",5.11,0,21.71,1/10/2022,14020,2022-07-08,USD,,0,5.1166,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000145,"-152,775.00"
PAL50016200018,STAFF MEDICAL INS NY,OAB,"-614,503.59",0,"614,503.59",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-614,503.59"
PAL50016410010,COURIER CHARGES,OAB,"-21,937.56",0,"21,937.56",0,0,0,7/1/2008,68000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-21,937.56"
PAL50016410009,TELEPHONE EXPENSES,OAB,"-25,850.86",0,"25,850.86",0,0,0,7/1/2008,64100,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-25,850.86"
PAL50016410008,T1 COMMUNICATIONS INTERNET SER,OAB,"-18,504.18",0,"18,504.18",0,0,0,7/1/2008,64100,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-18,504.18"
PAL50016410007,SWIFT COMMUNICATIONS EXPENSE,OAB,"-42,328.69",0,"42,328.69",0,0,0,7/1/2008,64100,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-42,328.69"
PAL50016410001,COMMUNICATION,OAB,"-120,956.38",0,"120,956.38",0,0,0,7/1/2008,64100,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-120,956.38"
PAL50016310004,TRAVEL EXPENSE OVERSEAS,OAB,"-8,260.08",0,"8,260.08",0,0,0,7/1/2008,63100,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-8,260.08"
PAL50016310003,TRAVEL EXPENSE WITHIN THE USA,OAB,"-105,083.44",0,"105,083.44",0,0,0,7/1/2008,63100,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-105,083.44"
PAL50016300006,175-AMORTZLSEHOLD IMPROV 1 ROC,OAB,"-11,385.72",0,"11,385.72",0,0,0,7/1/2008,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-11,385.72"
PAL50016300005,RENT EXPENSE,OAB,"-643,561.60",0,"643,561.60",0,0,0,7/1/2008,63000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-643,561.60"
PAL50016300001,INSURANCE (NON-EMPLOYEE),OAB,"-75,445.92",0,"75,445.92",0,0,0,7/1/2008,63000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-75,445.92"
PAL50016200084,JOB ADVERTISING COST,OAB,"-11,759.25",0,"11,759.25",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-11,759.25"
PAL50016200027,METROPOLITAN COMMUTER TAX (MCT,OAB,"-8,711.46",0,"8,711.46",0,0,0,10/14/2009,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-8,711.46"
PAL50016200026,EMPLOYMENT AGENCY FEES,OAB,"-50,565.50",0,"50,565.50",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-50,565.50"
PAL50016200015,REFERENCE/CREDIT CHECK,OAB,-147.74,0,147.74,0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,-147.74
PAL50016200024,WORKERS'COMPENSATION,OAB,-259.76,0,259.76,0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,-259.76
PAL50016200019,TEMPORARY HELP - EMP AGENCY,OAB,"-43,393.80",0,"43,393.80",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-43,393.80"
PAL50016200016,STAFF EDUCATION TRAINING,OAB,"-109,524.00",0,"109,524.00",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-109,524.00"
PAL50016700001,100-DEPREC PC S/W & LAN SOFTWA,OAB,"-14,412.31",0,"14,412.31",0,0,0,7/1/2008,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-14,412.31"
PAL50016700004,130-DEPREC PERSONAL COMPUTERS,OAB,"-11,413.86",0,"11,413.86",0,0,0,7/1/2008,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-11,413.86"
PAL50016200014,PAYROLL TAXES,OAB,"-218,608.65",0,"218,608.65",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-218,608.65"
PAL50016900206,COMMERCIAL REAL ESTATE TAX,OAB,"-16,733.38",0,"16,733.38",0,0,0,7/1/2008,63000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-16,733.38"
PAL50016810013,ANNUAL SUBSC.NETWORK SOFTWARE,OAB,"-121,604.95",0,"121,604.95",0,0,0,7/1/2008,69500,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-121,604.95"
PAL50016810009,"PREMISES REPAIR+MAIN,CLEANING",OAB,"-54,835.69",0,"54,835.69",0,0,0,7/1/2008,63000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-54,835.69"
PAL50016810007,MAINTENANCE CONTRACT-IBM OS/40,OAB,"-103,961.70",0,"103,961.70",0,0,0,7/1/2008,69500,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-103,961.70"
PAL50016810002,MAINT.VOICE RECORDING SYSTEM,OAB,-538.15,0,538.15,0,0,0,7/1/2008,64100,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,-538.15
PAL50016800086,OPER.EXP-BKG PREMISE,OAB,"-1,396.13",0,"1,396.13",0,0,0,7/1/2008,63000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-1,396.13"
PAL50016800024,BUSINESS DEVELOPMENT EXPENSES,OAB,"-255,000.00",0,"255,000.00",0,0,0,1/4/2022,68000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-255,000.00"
PAL50016800020,COMPUTER SUPPLIES EXPENSES,OAB,"-7,283.92",0,"7,283.92",0,0,0,7/1/2008,69500,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-7,283.92"
PAL50016800013,STORAGE SPACE RENTAL EXPENSE,OAB,"-27,339.44",0,"27,339.44",0,0,0,7/1/2008,68000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-27,339.44"
PAL50016800012,"STATIONERY, SUPPLIES AND PRINT",OAB,"-11,331.27",0,"11,331.27",0,0,0,7/1/2008,68000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-11,331.27"
PAL50016800010,OTHER OPERATING EXPENSES,OAB,"-33,319.61",0,"33,319.61",0,0,0,7/1/2008,68000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-33,319.61"
PAL50016800008,MEMBERSHIPS DUES,OAB,"-11,761.66",0,"11,761.66",0,0,0,7/1/2008,65300,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-11,761.66"
PAL50016800007,LEASED SOFTWARE CHARGES,OAB,"-14,792.20",0,"14,792.20",0,0,0,7/1/2008,69500,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-14,792.20"
PAL50016800004,DISASTR RECOVRY SITE,OAB,"-294,475.25",0,"294,475.25",0,0,0,7/1/2008,69500,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-294,475.25"
PAL50016800001,"WATER, ELECTRICITY, GAS ETC. B",OAB,"-18,254.18",0,"18,254.18",0,0,0,7/1/2008,63000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-18,254.18"
PAL50016700029,100A-DEPREC ACTIMIZE,OAB,"-175,874.42",0,"175,874.42",0,0,0,10/8/2020,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-175,874.42"
PAL50016700027,89-DEPRECIATION CLOUD SERVER,OAB,"-159,077.35",0,"159,077.35",0,0,0,7/14/2017,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-159,077.35"
PAL50016700010,40-DEPRECIATION AS/400 COMPUTE,OAB,"-1,406.72",0,"1,406.72",0,0,0,7/1/2008,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-1,406.72"
PAL50016700009,30-DEPRECIATION COMPUTER HARDW,OAB,"-24,933.39",0,"24,933.39",0,0,0,7/1/2008,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-24,933.39"
PAL50016700008,20-DEPRECIATION BANK EQUIPMENT,OAB,"-1,370.45",0,"1,370.45",0,0,0,7/1/2008,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-1,370.45"
PAL50016700005,140-DEPREC TELEPHONE SYSTEMS,OAB,"-33,171.72",0,"33,171.72",0,0,0,7/1/2008,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-33,171.72"
PAL50016700002,10-DEPRECIATION FURNITURE BANK,OAB,"-51,190.30",0,"51,190.30",0,0,0,7/1/2008,67000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-51,190.30"
PAL50016200013,PAYROLL CHARGES,OAB,"-38,363.80",0,"38,363.80",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-38,363.80"
PAL50016200009,EMPLOYEE SEVERANCE PAY ACCRUED,OAB,"-200,156.46",0,"200,156.46",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-200,156.46"
PAL50016200011,OTHER STAFF EXPENSES - LOCAL,OAB,"-8,330.26",0,"8,330.26",0,0,0,7/1/2008,62000,2022-07-09,USD,,0,0,UNITED STATES,,7/5/2022,,N,N,,"-8,330.26"
PAL50015310018,SLA FEE INCOME ON NY FROM GCI,OAB,"1,803,719.63","1,803,719.63",0,0,0,0,7/1/2008,53002,2022-07-09,USD,,0,0,UNITED STATES,,,7/5/2022,N,N,,"1,803,719.63"
